C1,C2,C3,P
0.9450000000000001,0.9679,0.9263,0
0.8152,0.8974,0.7901,0
0.946,0.9808,0.9291,0
0.9440999999999999,0.9872,0.9309000000000001,0
0.9431,0.9872,0.9144,0
0.8863,0.9679,0.8564,0
0.9517,0.9744,0.9236,0
0.9507,0.9936,0.9383,0
0.9469,0.9744,0.9365,0
0.9469,0.9744,0.9282,0
0.873,0.9808,0.8711,0
0.946,0.9487,0.9299999999999999,0
0.946,0.9744,0.9236,0
0.9450000000000001,0.9872,0.9365,0
0.9403,0.9423,0.918,0
0.9469,0.9487,0.9171,0
0.9469,0.9872,0.9198999999999999,0
0.9403,0.9679,0.9236,0
0.9412,0.9295,0.8932,0
0.9440999999999999,0.9487,0.9125,0
0.8834,0.9167,0.8425,0
0.9450000000000001,0.9808,0.9015,0
0.9279999999999999,0.9679,0.8867,0
0.946,0.9808,0.9198999999999999,0
0.9450000000000001,0.9808,0.9309000000000001,0
0.9374,0.9295,0.9299999999999999,0
0.9517,0.9744,0.9448,0
0.9545,0.9808,0.9153,0
0.9507,0.9808,0.9457,0
0.9536,0.9103,0.9227,0
0.7346,0.9808,0.7127,0
0.8825000000000001,0.9744,0.861,0
0.8872,0.9679,0.8803,0
0.9156,0.9487,0.9061,0
0.9384,0.9808,0.9263,0
0.9564,0.9744,0.9365,0
0.9498,0.9679,0.9512,0
0.9479,0.9808,0.9337,0
0.9536,0.9872,0.9576,0
0.9393,0.9679,0.8794,0
0.9052,0.9744,0.8867,0
0.9507,0.9615,0.9208000000000001,0
0.9117999999999999,0.9808,0.8941,0
0.9440999999999999,0.9808,0.9227,0
0.9498,0.9679,0.9254,0
0.8976,0.9808,0.8978,0
0.9403,0.9872,0.9015,0
0.946,0.9679,0.9429,0
0.9545,0.9167,0.918,0
0.9545,0.9872,0.9282,0
0.9450000000000001,0.9872,0.9299999999999999,0
0.9479,0.9936,0.9383,0
0.8929,0.9487,0.872,0
0.9488,0.9808,0.9346,0
0.9365,0.9936,0.9282,0
0.6825,0.9487,0.6638999999999999,0
0.9299,0.9808,0.9245,0
0.9440999999999999,0.9808,0.9475,0
0.9526,0.9679,0.918,0
0.9488,0.9872,0.9337,0
0.9536,0.9295,0.9328,0
0.9517,0.9615,0.9365,0
0.9412,0.9615,0.9365,0
0.9289000000000001,0.9744,0.9116,0
0.9469,0.9872,0.9475,0
0.9412,0.9808,0.9337,0
0.946,0.9295,0.9457,0
0.9469,0.9615,0.918,0
0.9431,0.9808,0.9245,0
0.8976,0.9872,0.8858,0
0.9365,0.9615,0.8886000000000001,0
0.9517,0.9744,0.9346,0
0.9355,0.9167,0.9217,0
0.9412,0.9872,0.9227,0
0.9384,0.9808,0.9337,0
0.9498,0.9744,0.9392,0
0.9450000000000001,0.9872,0.9337,0
0.9440999999999999,0.9808,0.9116,0
0.8265,0.9808,0.8204,0
0.9033,0.9679,0.8895,0
0.8436,0.9872,0.8223,0
0.9469,0.9744,0.9144,0
0.8,0.9487,0.7836,0
0.8853,0.9487,0.8738,0
0.9403,0.9936,0.9337,0
0.9147,0.9744,0.8886000000000001,0
0.9346,0.9744,0.9227,0
0.9545,0.9936,0.9457,0
0.9365,0.9551000000000001,0.8987,0
0.9479,0.9679,0.9355,0
0.8834,0.9359,0.837,0
0.9308,0.9808,0.9125,0
0.9488,0.9808,0.9374,0
0.8891,0.9936,0.8564,0
0.9422,0.9808,0.9107000000000001,0
0.9488,0.5192,0.8683,0
0.9403,0.9808,0.9061,0
0.9469,0.9744,0.9365,0
0.9223,0.9808,0.9162,0
0.9336,0.9744,0.9254,0
0.9261,0.9872,0.9198999999999999,0
0.9251,0.9423,0.9337,0
0.9536,0.8974,0.9411,0
0.9469,0.9744,0.9015,0
0.9412,0.9872,0.9374,0
0.9223,0.9808,0.8803,0
0.9526,0.9679,0.907,0
0.9156,0.9551000000000001,0.8858,0
0.9431,0.9679,0.9208000000000001,0
0.927,0.9551000000000001,0.9042,0
0.8341000000000001,0.9872,0.8315,0
0.9573,0.9872,0.953,0
0.9374,0.9936,0.9088,0
0.9450000000000001,0.9744,0.9457,0
0.946,1.0,0.9383,0
0.9450000000000001,0.8654,0.9097999999999999,0
0.9299,0.9744,0.9052,0
0.9555,0.9744,0.9374,0
0.9479,0.9872,0.9567,0
0.9318,0.9936,0.9392,0
0.9365,0.9615,0.9198999999999999,0
0.8758,0.9744,0.8186,0
0.946,0.9295,0.9282,0
0.9488,0.9744,0.9328,0
0.9526,0.9423,0.9438,0
0.9479,0.9744,0.9282,0
0.9289000000000001,0.9808,0.9153,0
0.9507,0.9936,0.9328,0
0.8948,0.9808,0.8665,0
0.9479,0.9808,0.895,0
0.9374,0.9808,0.9134,0
0.9393,0.9808,0.9254,0
0.9488,0.9231,0.9134,0
0.909,0.9808,0.9024,0
0.9469,0.9808,0.9503,0
0.9517,1.0,0.9365,0
0.8758,0.9744,0.8214,0
0.9279999999999999,0.9615,0.907,0
0.9545,0.9359,0.9254,0
0.9175,0.9615,0.85175,0
0.9488,0.9808,0.9328,0
0.7204,0.9423,0.6565,0
0.9450000000000001,0.9744,0.9153,0
0.9488,0.9615,0.9299999999999999,0
0.9422,0.9679,0.9383,0
0.9365,0.9872,0.9263,0
0.9526,0.9615,0.9319,0
