C1,C2,C3,P
0.0416,0.17659999999999998,1.0,0
0.48719999999999997,0.48050000000000004,0.4317,1
0.9317,0.3169,0.241,0
0.0189,0.2524,1.0,1
0.8863,0.374,0.2814,2
0.7845,0.0726,0.6471,3
0.6789000000000001,0.5626,0.2636,2
0.1265,0.6174999999999999,0.7553,1
0.5095000000000001,0.30410000000000004,0.6584,1
0.371,0.5253,0.6125,0
0.1711,0.8308,0.5225,0
0.9667,0.1613,0.3211,0
0.6762,0.5793,0.1357,3
0.5865,0.7032,0.24869999999999998,3
0.1769,0.1119,1.0,3
0.6862,0.0996,0.6847,1
0.5868,0.3423,0.5706,2
0.44220000000000004,0.2879,0.7853,2
0.2663,0.7835,0.4694,3
0.7283999999999999,0.7124,0.025,2
0.134,0.8461,0.5143,2
0.6105,0.8487,0.0857,2
0.16299999999999998,0.4248,0.9209,0
0.7923,0.1285,0.5756,0
0.9426,0.22460000000000002,0.3542,1
0.5327999999999999,0.6900999999999999,0.2929,1
0.17459999999999998,0.019799999999999998,1.0,1
0.4187,0.13840000000000002,0.9956,3
0.2388,0.037099999999999994,1.0,3
0.8825000000000001,0.51,0.1491,1
0.3419,0.4568,0.7175,2
0.8189,0.2455,0.3634,3
0.1763,0.2077,1.0,2
0.7376,0.586,0.1256,2
0.6104,0.38880000000000003,0.548,0
0.044700000000000004,0.601,0.8961,0
0.27849999999999997,0.4525,0.8315,1
0.6181,0.5235,0.3232,3
0.0233,0.0092,1.0,2
0.4391,0.4498,0.6465,3
0.0499,0.2096,1.0,3
0.5867,0.3393,0.5263,2
0.4444,0.9259,0.23420000000000002,3
0.8446,0.08510000000000001,0.5716,3
0.8657,0.0095,0.6216,1
0.093,0.0033,1.0,2
0.7268,0.1933,0.5697,0
0.4676,0.1009,0.9087000000000001,0
0.8216,0.6166,0.0228,1
0.038000000000000006,0.19030000000000002,1.0,3
0.1511,0.48719999999999997,0.8341000000000001,2
0.3941,0.722,0.43920000000000003,3
0.9108,0.5108,0.17859999999999998,1
0.0262,0.8492999999999999,0.5777,2
0.4797,0.5017,0.5306,3
0.2643,0.0183,1.0,2
0.7565,0.7944,0.0523,3
0.5992,0.0639,0.9063,0
0.9734,0.479,0.1493,2
0.0368,0.20850000000000002,1.0,3
0.4642,0.7562,0.2373,1
0.13679999999999998,0.6980999999999999,0.7545999999999999,0
0.8241,0.2569,0.3241,2
0.262,0.9605,0.23759999999999998,0
0.0847,0.7954,0.6052,3
0.006,0.202,1.0,3
0.5076,0.6462,0.3337,0
0.7635,0.5965,0.1794,0
0.0736,0.5267,0.9508,2
0.009399999999999999,0.764,0.6754,2
0.1159,0.8963,0.4703,3
0.24080000000000001,0.8845000000000001,0.3987,1
0.4524,0.8708,0.17509999999999998,0
0.8529,0.14889999999999998,0.5329,2
0.0538,0.1052,1.0,0
0.0426,0.5009,0.8846,2
0.035100000000000006,0.3665,1.0,1
0.9235,0.0089,0.5693,0
0.1016,0.7774,0.6378,2
0.5145,0.7686,0.24969999999999998,2
0.059300000000000005,0.5759,0.8545,0
0.1241,0.7101999999999999,0.6696,0
0.6714,0.2524,0.5882000000000001,1
0.1343,0.1049,1.0,1
0.1483,0.0139,1.0,3
0.4212,0.6867,0.4097,0
0.3754,0.7447,0.2873,0
0.5567,0.6822,0.313,2
0.5357000000000001,0.8748,0.0343,0
0.7079,0.4868,0.2479,2
0.6675,0.182,0.6473,1
0.2172,0.2061,1.0,2
0.5243,0.7922,0.251,2
0.7334,0.14029999999999998,0.6914,0
0.1701,0.5286,0.8904,2
0.5353,0.5765,0.32030000000000003,1
0.0456,0.1248,1.0,3
0.8088,0.3687,0.3341,2
0.7598,0.2146,0.5621,2
0.4726,0.23959999999999998,0.8426,1
0.1713,0.8739,0.5278,1
0.7728,0.0822,0.7181,1
0.265,0.8045,0.5215,2
0.2152,0.6651,0.628,1
0.6304,0.22660000000000002,0.6779,0
0.4384,0.7563,0.2767,3
0.3877,0.0282,1.0,3
0.5848,0.1042,0.8859,1
0.033100000000000004,0.4269,1.0,3
0.314,0.21839999999999998,0.9097,1
0.4793,0.15250000000000002,0.7953,3
0.0225,0.9335,0.6749,3
0.4121,0.9882,0.1247,2
0.535,0.5616,0.4133,0
0.8978,0.1602,0.4921,1
0.8321000000000001,0.19490000000000002,0.5326,1
0.1095,0.23299999999999998,1.0,0
0.8032,0.0829,0.5636,1
0.443,0.6910000000000001,0.32289999999999996,3
0.9134,0.27490000000000003,0.35150000000000003,0
0.6748000000000001,0.12290000000000001,0.8146,3
0.5814,0.2138,0.8085,1
0.8787,0.45189999999999997,0.15560000000000002,2
0.6238,0.6526,0.15910000000000002,1
0.9426,0.4008,0.0703,1
0.20989999999999998,0.4223,0.8497,0
0.5324,0.6011,0.3568,3
0.7734,0.6264,0.1043,0
0.2917,0.19790000000000002,1.0,3
0.4048,0.5905,0.5673,1
0.043800000000000006,0.7625,0.7311,1
0.9583,0.26480000000000004,0.3153,0
0.036500000000000005,0.3326,1.0,2
0.8619,0.5018,0.21960000000000002,3
0.061399999999999996,0.9182,0.5561,1
0.9986,0.1386,0.4195,2
0.7105,0.4184,0.4178,2
0.828,0.2844,0.4914,1
0.7644,0.1548,0.5547,3
0.20190000000000002,0.429,0.8428,2
0.6661,0.2561,0.5803,2
0.6991,0.2054,0.5175,2
0.5873,0.6583,0.22260000000000002,1
0.1068,0.0906,1.0,0
0.9376,0.1572,0.3833,2
0.388,0.9284,0.0537,2
0.826,0.3595,0.2541,1
0.7922,0.5048,0.3018,2
0.6228,0.4857,0.43479999999999996,3
0.2031,0.578,0.7712,1
