C1,C2,C3,C4,P
0.0,0.001,0.0416,0.17659999999999998,1
0.36460000000000004,0.09129999999999999,0.0923,0.48719999999999997,1
0.5267999999999999,0.4544,0.23320000000000002,0.8313,0
0.9317,0.5681,0.5561,0.0508,1
0.7671,0.0189,0.2524,0.2982,1
0.876,0.5316,0.9203,0.5154,0
0.8104,0.1884,0.8863,0.5706,0
0.07680000000000001,0.8153,0.9849,0.1184,0
0.8939,0.7845,0.1009,0.25329999999999997,0
0.019799999999999998,0.3784,0.6789000000000001,0.6809000000000001,0
0.7527,0.006200000000000001,0.6244000000000001,0.1265,0
0.6174999999999999,0.7709,0.1865,0.49670000000000003,0
0.5095000000000001,0.3159,0.7017,0.36719999999999997,0
0.8763,0.371,0.5253,0.4278,0
0.5427,0.668,0.1711,0.8308,0
0.8619,0.7692,0.052599999999999994,0.9667,0
0.3343,0.0821,0.2703,0.0743,1
0.6762,0.8102,0.4642,0.5692,1
0.5122,0.5865,0.7388,0.8717,1
0.578,0.9647,0.3335,0.39280000000000004,0
0.1769,0.1119,0.8527,0.8112,0
0.9549,0.9043,0.13890000000000002,0.6862,0
0.127,0.0040999999999999995,0.0005,0.193,0
0.5868,0.375,0.0268,0.4648,0
0.7853,0.44220000000000004,0.2879,0.8533999999999999,1
0.526,0.7283999999999999,0.2663,0.7835,1
0.46799999999999997,0.197,0.4472,0.7283999999999999,0
0.9661,0.7568,0.4661,0.869,0
0.134,0.8461,0.018099999999999998,0.9409,0
0.6701,0.8,0.1432,0.6105,0
0.9083,0.7744,0.3661,0.9443,0
0.8848,0.4452,0.16299999999999998,0.4248,1
0.4799,0.0311,0.6084,0.7923,1
0.1825,0.5251,0.8988,0.30879999999999996,0
0.9426,0.388,0.9305,0.9114,1
0.3377,0.5327999999999999,0.7021,0.971,0
0.7681,0.7519,0.09090000000000001,0.854,0
0.17459999999999998,0.019799999999999998,0.41910000000000003,0.2964,1
0.3782,0.4187,0.13840000000000002,0.3808,1
0.2998,0.020999999999999998,0.2388,0.037099999999999994,0
0.22110000000000002,0.5254,0.4945,0.8825000000000001,1
0.7738,0.059,0.1198,0.5478000000000001,1
0.3419,0.4568,0.5881,0.5851,1
0.0699,0.8189,0.4032,0.5855,1
0.19119999999999998,0.8923,0.1763,0.2077,0
0.1157,0.15889999999999999,0.9926,0.6816,1
0.8118,0.6422,0.32930000000000004,0.7376,1
0.8235,0.7213,0.658,0.3588,1
0.6104,0.41500000000000004,0.815,0.774,0
0.2743,0.044700000000000004,0.601,0.5141,0
0.6302,0.1809,0.27849999999999997,0.4525,1
0.643,0.7428,0.4137,0.6181,0
0.6183,0.8544,0.1815,0.3079,0
0.0233,0.0092,0.9515,0.9908,1
0.2049,0.6041,0.9357,0.5596,0
0.5468999999999999,0.4391,0.4498,0.30679999999999996,1
0.20079999999999998,0.2158,0.0499,0.2096,0
0.5746,0.9148000000000001,0.41559999999999997,0.6542,1
0.3557,0.5867,0.3919,0.0339,0
0.2855,0.0916,0.4444,0.9259,1
0.9213,0.6059,0.8611,0.014700000000000001,1
0.6867,0.8446,0.1296,0.0597,0
0.0131,0.3912,0.8657,0.015099999999999999,0
0.9243,0.8867,0.6621,0.6549,0
0.0763,0.093,0.0033,0.5267,0
0.7898000000000001,0.654,0.5459,0.7984,1
0.7268,0.25329999999999997,0.2552,0.13840000000000002,1
0.4829,0.4676,0.1009,0.5042,0
0.8584,0.01,0.8216,0.9642999999999999,0
0.0195,0.9296,0.0631,0.038000000000000006,0
0.19030000000000002,0.2767,0.44730000000000003,0.6494,1
0.1511,0.48719999999999997,0.6496999999999999,0.5343,1
0.3568,0.3941,0.722,0.7247,1
0.30610000000000004,0.1066,0.9108,0.7409,0
0.23909999999999998,0.6513,0.3684,0.0262,0
0.8492999999999999,0.041800000000000004,0.0561,0.426,1
0.4797,0.5017,0.9805,0.6075,1
0.9127,0.7504,0.7138,0.9711,1
0.0292,0.2643,0.0183,0.0807,1
0.15460000000000002,0.1144,0.7565,0.9382,1
0.1288,0.5926,0.1225,0.5992,0
0.0659,0.256,0.4125,0.9484,0
0.35350000000000004,0.017,0.9734,0.7624,1
0.862,0.4051,0.8679,0.0368,0
0.20850000000000002,0.4233,0.9848,0.5644,0
0.5763,0.4682,0.4642,0.7611,1
0.30210000000000004,0.4173,0.0985,0.13679999999999998,0
0.6980999999999999,0.1804,0.8931,0.7309,0
0.3023,0.1412,0.8241,0.44220000000000004,0
0.5901,0.9776,0.5027,0.8976999999999999,0
0.7248,0.2613,0.455,0.262,1
0.9605,0.0169,0.9404,0.902,1
0.0979,0.5211,0.0847,0.7954,0
0.8689,0.0958,0.8803,0.006,0
0.202,0.4726,0.6442,0.9339999999999999,0
0.0984,0.5709,0.5076,0.6594,0
0.8929,0.7358,0.6893,0.8093,1
0.2404,0.7635,0.7686999999999999,0.5424,1
0.48109999999999997,0.4144,0.0736,0.5267,0
0.5076,0.7516,0.1311,0.009399999999999999,0
0.764,0.1012,0.9653,0.0892,1
0.1159,0.8963,0.7452,0.2185,1
0.5855,0.24080000000000001,0.8845000000000001,0.3961,1
0.056499999999999995,0.9272,0.4524,0.8708,0
0.23020000000000002,0.489,0.5713,0.8529,1
0.21839999999999998,0.9205,0.038599999999999995,0.4084,0
0.0538,0.1052,0.5298,0.573,0
0.11449999999999999,0.0426,0.5009,0.7247,0
0.4942,0.34609999999999996,0.035100000000000006,0.3665,1
0.9156,0.5049,0.8618,0.9235,1
0.015300000000000001,0.29000000000000004,0.2394,0.7165,1
0.1016,0.7774,0.2447,0.4317,1
0.5916,0.5145,0.7686,0.7216,1
0.8036,0.7404999999999999,0.5062,0.8183,0
0.059300000000000005,0.5759,0.8617,0.5512,0
0.8287,0.1241,0.7101999999999999,0.0015999999999999999,1
0.031799999999999995,0.2913,0.6714,0.3002,0
0.43379999999999996,0.2733,0.1243,0.1343,0
0.1049,0.41600000000000004,0.8206,0.2601,0
0.1483,0.0139,0.2213,0.3529,0
0.7619,0.4212,0.6867,0.5267,0
0.32989999999999997,0.1436,0.3754,0.7447,1
0.7299,0.732,0.1738,0.5567,0
0.6855,0.8705,0.5584,0.3447,0
0.5357000000000001,0.9623,0.9232,0.7527,1
0.687,0.3362,0.3607,0.7079,0
