C1,C2,C3,P
0.0,0.001,0.0416,0
0.17659999999999998,0.36460000000000004,0.09129999999999999,1
0.0923,0.48719999999999997,0.5267999999999999,1
0.4544,0.23320000000000002,0.8313,0
0.9317,0.5681,0.5561,1
0.0508,0.7671,0.0189,1
0.2524,0.2982,0.876,0
0.5316,0.9203,0.5154,1
0.8104,0.1884,0.8863,0
0.5706,0.07680000000000001,0.8153,1
0.9849,0.1184,0.8939,1
0.7845,0.1009,0.25329999999999997,1
0.019799999999999998,0.3784,0.6789000000000001,1
0.6809000000000001,0.7527,0.006200000000000001,1
0.6244000000000001,0.1265,0.6174999999999999,0
0.7709,0.1865,0.49670000000000003,0
0.5095000000000001,0.3159,0.7017,0
0.36719999999999997,0.8763,0.371,0
0.5253,0.4278,0.5427,0
0.668,0.1711,0.8308,0
0.8619,0.7692,0.052599999999999994,0
0.9667,0.3343,0.0821,1
0.2703,0.0743,0.6762,0
0.8102,0.4642,0.5692,0
0.5122,0.5865,0.7388,1
0.8717,0.578,0.9647,1
0.3335,0.39280000000000004,0.1769,0
0.1119,0.8527,0.8112,0
0.9549,0.9043,0.13890000000000002,0
0.6862,0.127,0.0040999999999999995,1
0.0005,0.193,0.5868,1
0.375,0.0268,0.4648,0
0.7853,0.44220000000000004,0.2879,0
0.8533999999999999,0.526,0.7283999999999999,1
0.2663,0.7835,0.46799999999999997,1
0.197,0.4472,0.7283999999999999,0
0.9661,0.7568,0.4661,0
0.869,0.134,0.8461,1
0.018099999999999998,0.9409,0.6701,1
0.8,0.1432,0.6105,0
0.9083,0.7744,0.3661,0
0.9443,0.8848,0.4452,0
0.16299999999999998,0.4248,0.4799,1
0.0311,0.6084,0.7923,1
0.1825,0.5251,0.8988,1
0.30879999999999996,0.9426,0.388,1
0.9305,0.9114,0.3377,0
0.5327999999999999,0.7021,0.971,1
0.7681,0.7519,0.09090000000000001,1
0.854,0.17459999999999998,0.019799999999999998,0
0.41910000000000003,0.2964,0.3782,1
0.4187,0.13840000000000002,0.3808,1
0.2998,0.020999999999999998,0.2388,1
0.037099999999999994,0.22110000000000002,0.5254,1
0.4945,0.8825000000000001,0.7738,0
0.059,0.1198,0.5478000000000001,1
0.3419,0.4568,0.5881,1
0.5851,0.0699,0.8189,0
0.4032,0.5855,0.19119999999999998,1
0.8923,0.1763,0.2077,1
0.1157,0.15889999999999999,0.9926,1
0.6816,0.8118,0.6422,0
0.32930000000000004,0.7376,0.8235,1
0.7213,0.658,0.3588,0
0.6104,0.41500000000000004,0.815,1
0.774,0.2743,0.044700000000000004,0
0.601,0.5141,0.6302,0
0.1809,0.27849999999999997,0.4525,1
0.643,0.7428,0.4137,1
0.6181,0.6183,0.8544,1
0.1815,0.3079,0.0233,0
0.0092,0.9515,0.9908,0
0.2049,0.6041,0.9357,0
0.5596,0.5468999999999999,0.4391,1
0.4498,0.30679999999999996,0.20079999999999998,1
0.2158,0.0499,0.2096,1
0.5746,0.9148000000000001,0.41559999999999997,1
0.6542,0.3557,0.5867,1
0.3919,0.0339,0.2855,1
0.0916,0.4444,0.9259,0
0.9213,0.6059,0.8611,1
0.014700000000000001,0.6867,0.8446,0
0.1296,0.0597,0.0131,0
0.3912,0.8657,0.015099999999999999,1
0.9243,0.8867,0.6621,0
0.6549,0.0763,0.093,0
0.0033,0.5267,0.7898000000000001,0
0.654,0.5459,0.7984,1
0.7268,0.25329999999999997,0.2552,0
0.13840000000000002,0.4829,0.4676,1
0.1009,0.5042,0.8584,0
0.01,0.8216,0.9642999999999999,1
0.0195,0.9296,0.0631,1
0.038000000000000006,0.19030000000000002,0.2767,1
0.44730000000000003,0.6494,0.1511,1
0.48719999999999997,0.6496999999999999,0.5343,1
0.3568,0.3941,0.722,0
0.7247,0.30610000000000004,0.1066,1
0.9108,0.7409,0.23909999999999998,0
0.6513,0.3684,0.0262,1
0.8492999999999999,0.041800000000000004,0.0561,1
0.426,0.4797,0.5017,0
0.9805,0.6075,0.9127,1
0.7504,0.7138,0.9711,1
0.0292,0.2643,0.0183,0
0.0807,0.15460000000000002,0.1144,1
0.7565,0.9382,0.1288,0
0.5926,0.1225,0.5992,1
0.0659,0.256,0.4125,0
0.9484,0.35350000000000004,0.017,1
0.9734,0.7624,0.862,1
0.4051,0.8679,0.0368,0
0.20850000000000002,0.4233,0.9848,0
0.5644,0.5763,0.4682,1
0.4642,0.7611,0.30210000000000004,1
0.4173,0.0985,0.13679999999999998,0
0.6980999999999999,0.1804,0.8931,1
0.7309,0.3023,0.1412,1
0.8241,0.44220000000000004,0.5901,1
0.9776,0.5027,0.8976999999999999,1
0.7248,0.2613,0.455,0
0.262,0.9605,0.0169,1
0.9404,0.902,0.0979,1
0.5211,0.0847,0.7954,1
0.8689,0.0958,0.8803,0
0.006,0.202,0.4726,0
0.6442,0.9339999999999999,0.0984,0
0.5709,0.5076,0.6594,0
0.8929,0.7358,0.6893,0
0.8093,0.2404,0.7635,1
0.7686999999999999,0.5424,0.48109999999999997,0
0.4144,0.0736,0.5267,1
0.5076,0.7516,0.1311,1
0.009399999999999999,0.764,0.1012,1
0.9653,0.0892,0.1159,0
0.8963,0.7452,0.2185,1
0.5855,0.24080000000000001,0.8845000000000001,0
0.3961,0.056499999999999995,0.9272,0
0.4524,0.8708,0.23020000000000002,0
0.489,0.5713,0.8529,1
0.21839999999999998,0.9205,0.038599999999999995,0
0.4084,0.0538,0.1052,0
0.5298,0.573,0.11449999999999999,1
0.0426,0.5009,0.7247,0
0.4942,0.34609999999999996,0.035100000000000006,1
0.3665,0.9156,0.5049,0
0.8618,0.9235,0.015300000000000001,0
0.29000000000000004,0.2394,0.7165,1
0.1016,0.7774,0.2447,1
0.4317,0.5916,0.5145,1
0.7686,0.7216,0.8036,0
0.7404999999999999,0.5062,0.8183,1
0.059300000000000005,0.5759,0.8617,0
0.5512,0.8287,0.1241,1
0.7101999999999999,0.0015999999999999999,0.031799999999999995,0
0.2913,0.6714,0.3002,0
0.43379999999999996,0.2733,0.1243,0
0.1343,0.1049,0.41600000000000004,1
0.8206,0.2601,0.1483,1
0.0139,0.2213,0.3529,0
0.7619,0.4212,0.6867,0
0.5267,0.32989999999999997,0.1436,1
0.3754,0.7447,0.7299,1
0.732,0.1738,0.5567,1
0.6855,0.8705,0.5584,0
0.3447,0.5357000000000001,0.9623,1
0.9232,0.7527,0.687,1
0.3362,0.3607,0.7079,1
0.6626,0.39749999999999996,0.0137,1
0.40800000000000003,0.6675,0.21939999999999998,1
0.0888,0.6176,0.019200000000000002,0
0.2172,0.2061,0.3745,1
0.3998,0.2939,0.5243,1
0.7922,0.3971,0.7271,1
0.6973,0.632,0.123,1
0.7334,0.16870000000000002,0.0281,1
0.2165,0.1708,0.1701,1
0.5286,0.3129,0.9012,1
0.4437,0.07919999999999999,0.137,0
0.5353,0.6428,0.8421,0
0.9698,0.34040000000000004,0.3677,0
0.7129,0.0456,0.1248,0
0.2583,0.9652000000000001,0.8375,1
0.6879,0.6887,0.8088,0
0.5246,0.5831999999999999,0.6839,0
0.4603,0.7598,0.2763,1
0.3169,0.066,0.14839999999999998,1
0.4726,0.23959999999999998,0.9448,0
0.3306,0.2609,0.1713,0
0.8739,0.8638,0.47850000000000004,0
0.2168,0.7728,0.1027,0
0.2077,0.23099999999999998,0.16620000000000001,0
0.265,0.8045,0.1085,1
0.2583,0.8795999999999999,0.2152,1
0.6651,0.6258,0.7925,0
0.346,0.6304,0.2505,1
0.036000000000000004,0.8069999999999999,0.4051,0
0.4384,0.7563,0.7843,1
0.4803,0.7159,0.3877,0
0.0282,0.4175,0.9008,1
0.6124,0.8342,0.7578,0
0.6066,0.8613999999999999,0.4057,0
0.23759999999999998,0.5848,0.1052,1
0.4905,0.845,0.7041,0
0.1047,0.6930000000000001,0.033100000000000004,1
0.4269,0.7323,0.2751,0
0.3357,0.314,0.21839999999999998,1
0.6076,0.5795,0.0706,0
0.4793,0.1609,0.2929,0
0.6573,0.9967,0.093,1
0.0516,0.0225,0.9335,0
